step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.5232,-0.0,-466.030876294158,0.5232,-0.0,-466.030876294158,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,0.0,0.0,0.0,0.0,0.5069893002510071,0.5076488852500916,-5.555561542510986,-5.354237079620361,0.0,0.0,0.0,0.0,nan,nan,-2.6474242210388184,-2.6474242210388184,-5.294848442077637,0.0,4.498922824859619,-0.02205364964902401,0.0,0.0,0.0,-0.02205364964902401,0.0,4.498922824859619,0.0,0.0,0.0,-0.9385976791381836,1.902347207069397,3.9674806594848633,0.0,0.0,0.0,0.0,4.498922824859619,-0.02205364964902401,0.0,0.0,0.0,-0.02205364964902401,0.0,4.498922824859619,-0.0,-0.0,-0.0,-0.938597559928894,-1.9023478031158447,3.9674806594848633,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.6000000238418579,4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,-1.8771952390670776,-5.960464477539062e-07,7.934961318969727,0.0,0.0,0.0,3.5762786865234375e-07,4.138404960940534e-07,-1.6763806343078613e-07,12.99998664855957,12.99998664855957,12.999985694885254,12.999985694885254,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27969226241111755,0.27969226241111755,4.219230651855469,4.219230651855469,0.12006876617670059,0.12006876617670059,0.0,0.0,-0.14212241768836975,-0.14212241768836975,-0.02205364964902401,-0.02205364964902401,0.583173930644989,0.583173930644989,-0.21852821111679077,-0.21852821111679077,0.18966566026210785,0.18966566026210785,-0.405010849237442,-0.405010849237442,-6.296968460083008,-6.296968460083008,7.1080427169799805,7.1080427169799805,13.0,13.0,0.0,0.0,180.0
1,0.004166666666666667,0.519159803613842,-1.9367945019889432,-462.4321449060813,0.519159803613842,-1.9367945019889432,-462.4321449060813,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,1.9367947578430176,1.9367942810058594,1.936794400215149,1.936794400215149,0.4971160888671875,0.4976401627063751,-6.46772575378418,-6.315924167633057,-0.02570711448788643,-0.02570711448788643,0.0,0.0,nan,nan,1.3382035493850708,1.3382035493850708,2.6764070987701416,0.0,5.563660621643066,0.06125539913773537,0.0,0.0,0.0,0.06125539913773537,0.0,5.563660621643066,0.0,0.0,0.0,-1.076600432395935,2.3321774005889893,4.935580253601074,0.0,0.0,0.0,0.0,5.563660621643066,0.06125539913773537,0.0,0.0,0.0,0.06125539913773537,0.0,5.563660621643066,-0.0,-0.0,-0.0,-1.0766000747680664,-2.3321783542633057,4.935579776763916,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,3.725290298461914e-08,0.056000083684921265,0.6000000238418579,3.725290298461914e-08,-0.055999964475631714,0.6000000238418579,-2.153200626373291,-9.5367431640625e-07,9.871160507202148,0.0,0.0,0.0,6.258487701416016e-07,-7.35458769440811e-08,1.4901161193847656e-07,10.194594383239746,10.194592475891113,14.287748336791992,14.287748336791992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2326607704162598,1.2326607704162598,4.330999374389648,4.330999374389648,0.20561715960502625,0.20561715960502625,0.0,0.0,-0.14436176419258118,-0.14436176419258118,0.06125539913773537,0.06125539913773537,0.583173930644989,0.583173930644989,-0.19000199437141418,-0.19000199437141418,0.21679185330867767,0.21679185330867767,9.149222373962402,9.149222373962402,-0.7587699890136719,-0.7587699890136719,12.643113136291504,12.643113136291504,11.527091026306152,11.527091026306152,0.0,0.0,180.0
2,0.008333333333333333,0.507101611958574,-3.8436768092238105,-451.6915301820227,0.507101611958574,-3.8436768092238105,-451.6915301820227,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,3.8436760902404785,3.8436765670776367,3.8436765670776367,3.8436765670776367,0.4795016348361969,0.47988277673721313,-7.29019021987915,-7.190455913543701,-0.05101720243692398,-0.05101720243692398,0.0,0.0,nan,nan,7.1417765617370605,7.1417765617370605,14.283553123474121,0.0,6.643693923950195,0.21628034114837646,0.0,0.0,0.0,0.21628034114837646,0.0,6.643693923950195,0.0,0.0,0.0,-1.1535826921463013,2.711972713470459,5.958178997039795,0.0,0.0,0.0,0.0,6.643693923950195,0.21628034114837646,0.0,0.0,0.0,0.21628034114837646,0.0,6.643693923950195,-0.0,-0.0,-0.0,-1.1535825729370117,-2.7119743824005127,5.958178520202637,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.6000000238418579,-7.450580596923828e-09,-0.055999964475631714,0.6000000238418579,-2.3071651458740234,-1.6689300537109375e-06,11.916357040405273,0.0,0.0,0.0,3.8743019104003906e-07,9.322297387370782e-07,-1.341104507446289e-07,8.851319313049316,8.851318359375,15.586628913879395,15.586628913879395,0.9557802677154541,0.9557802677154541,0.04421978443861008,0.04421978443861008,0.0,0.0,0.0,0.0,2.2792558670043945,2.2792558670043945,4.364438056945801,4.364438056945801,0.3639461100101471,0.3639461100101471,0.0,0.0,-0.14766576886177063,-0.14766576886177063,0.21628034114837646,0.21628034114837646,0.583173930644989,0.583173930644989,-0.16000093519687653,-0.16000093519687653,0.24261446297168732,0.24261446297168732,18.540912628173828,18.540912628173828,4.695686340332031,4.695686340332031,18.08823585510254,18.08823585510254,10.076930046081543,10.076930046081543,0.0,0.0,180.0
3,0.0125,0.487211653865806,-5.6911966961445115,-433.9749120638524,0.487211653865806,-5.6911966961445115,-433.9749120638524,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,5.691194534301758,5.691195964813232,5.691196918487549,5.691196918487549,0.45440277457237244,0.4546356797218323,-8.012728691101074,-7.966855049133301,-0.07553937286138535,-0.07553937286138535,0.0,0.0,nan,nan,14.629405975341797,14.629405975341797,29.258811950683594,0.0,7.745067596435547,0.44893625378608704,0.0,0.0,0.0,0.44893625378608704,0.0,7.745067596435547,0.0,0.0,0.0,-1.166892647743225,3.020310878753662,7.050085067749023,0.0,0.0,0.0,0.0,7.745067596435547,0.44893625378608704,0.0,0.0,0.0,0.44893625378608704,0.0,7.745067596435547,-0.0,-0.0,-0.0,-1.166892647743225,-3.020312786102295,7.050084590911865,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.9371509552001953e-07,0.05600002408027649,0.5999999642372131,-2.9802322387695312e-08,-0.055999964475631714,0.6000000238418579,-2.33378529548645,-1.9073486328125e-06,14.100170135498047,0.0,0.0,0.0,6.258487701416016e-07,2.0655868411267875e-06,-4.3213367462158203e-07,9.546162605285645,9.546163558959961,16.8776798248291,16.8776798248291,0.9141046404838562,0.9141046404838562,0.08589538186788559,0.08589538186788559,0.0,0.0,0.0,0.0,3.4235997200012207,3.4235997200012207,4.321467399597168,4.321467399597168,0.6008826494216919,0.6008826494216919,0.0,0.0,-0.15194639563560486,-0.15194639563560486,0.44893625378608704,0.44893625378608704,0.583173930644989,0.583173930644989,-0.12907762825489044,-0.12907762825489044,0.2666454315185547,0.2666454315185547,27.606706619262695,27.606706619262695,9.971288681030273,9.971288681030273,23.34844207763672,23.34844207763672,8.67191219329834,8.67191219329834,0.0,0.0,180.0
4,0.016666666666666666,0.45979711334474027,-7.450820740845497,-409.5559091161575,0.45979711334474027,-7.450820740845497,-409.5559091161575,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,7.450819492340088,7.450820446014404,7.450820446014404,7.4508209228515625,0.4221953749656677,0.4222770631313324,-8.626042366027832,-8.635030746459961,-0.09889490157365799,-0.09889490157365799,0.0,0.0,nan,nan,23.59668731689453,23.59668731689453,47.19337463378906,0.0,8.86778736114502,0.7616297006607056,0.0,0.0,0.0,0.7616297006607056,0.0,8.86778736114502,0.0,0.0,0.0,-1.1154085397720337,3.2330024242401123,8.217133522033691,0.0,0.0,0.0,0.0,8.86778736114502,0.7616297006607056,0.0,0.0,0.0,0.7616297006607056,0.0,8.86778736114502,-0.0,-0.0,-0.0,-1.1154080629348755,-3.233004570007324,8.217133522033691,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-7.450580596923828e-08,0.0559999942779541,0.5999999642372131,7.450580596923828e-09,-0.055999934673309326,0.6000000238418579,-2.230816602706909,-2.1457672119140625e-06,16.434267044067383,0.0,0.0,0.0,6.854534149169922e-07,1.1072646657339646e-06,-1.7508864402770996e-07,11.063636779785156,11.063640594482422,23.286556243896484,23.28656578063965,0.7592621445655823,0.7592621445655823,0.24073785543441772,0.24073785543441772,0.0,0.0,0.0,0.0,4.661357879638672,4.661357879638672,4.206429481506348,4.206429481506348,0.918688178062439,0.918688178062439,0.0,0.0,-0.1570585072040558,-0.1570585072040558,0.7616297006607056,0.7616297006607056,0.583173930644989,0.583173930644989,-0.09778835624456406,-0.09778835624456406,0.2884349226951599,0.2884349226951599,36.19377136230469,36.19377136230469,14.978731155395508,14.978731155395508,28.33466148376465,28.33466148376465,7.333739757537842,7.333739757537842,0.0,0.0,180.0
5,0.020833333333333332,0.42528138537833315,-9.095373000259494,-378.81165271303155,0.42528138537833315,-9.095373000259494,-378.81165271303155,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,9.095370292663574,9.095372200012207,9.095372200012207,9.095372200012207,0.38337063789367676,0.3833007216453552,-9.121661186218262,-9.185678482055664,-0.12072307616472244,-0.12072307616472244,0.0,0.0,nan,nan,33.744937896728516,33.744937896728516,67.48987579345703,0.0,10.003456115722656,1.1511776447296143,0.0,0.0,0.0,1.1511776447296143,0.0,10.003456115722656,0.0,0.0,0.0,-1.0007939338684082,3.3234198093414307,9.452387809753418,0.0,0.0,0.0,0.0,10.003456115722656,1.1511776447296143,0.0,0.0,0.0,1.1511776447296143,0.0,10.003456115722656,-0.0,-0.0,-0.0,-1.000793695449829,-3.3234221935272217,9.452387809753418,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.7881393432617188e-07,0.05600002408027649,0.5999999642372131,-2.9802322387695312e-08,-0.055999934673309326,0.6000000238418579,-2.0015876293182373,-2.384185791015625e-06,18.904775619506836,0.0,0.0,0.0,1.0132789611816406e-06,2.594980060166563e-06,-3.91155481338501e-07,12.721846580505371,12.72184944152832,28.658517837524414,28.658517837524414,0.6421903371810913,0.6421903371810913,0.35780972242355347,0.35780972242355347,0.0,0.0,0.0,0.0,5.977947235107422,5.977947235107422,4.025508880615234,4.025508880615234,1.3139770030975342,1.3139770030975342,0.0,0.0,-0.1627993881702423,-0.1627993881702423,1.1511776447296143,1.1511776447296143,0.583173930644989,0.583173930644989,-0.06667374819517136,-0.06667374819517136,0.30758902430534363,0.30758902430534363,44.16389465332031,44.16389465332031,19.6369571685791,19.6369571685791,32.96616744995117,32.96616744995117,6.0830769538879395,6.0830769538879395,0.0,0.0,180.0
6,0.025,0.3841975369367507,-10.599454720199459,-342.21696255483766,0.3841975369367507,-10.599454720199459,-342.21696255483766,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,10.599453926086426,10.599451065063477,10.599454879760742,10.599454879760742,0.3385280966758728,0.3383082151412964,-9.49195384979248,-9.610326766967773,-0.1406867802143097,-0.1406867802143097,0.0,0.0,nan,nan,44.66822052001953,44.66822052001953,89.33644104003906,0.0,11.134523391723633,1.6072971820831299,0.0,0.0,0.0,1.6072971820831299,0.0,11.134523391723633,0.0,0.0,0.0,-0.8285312652587891,3.264726400375366,10.73387622833252,0.0,0.0,0.0,0.0,11.134523391723633,1.6072971820831299,0.0,0.0,0.0,1.6072971820831299,0.0,11.134523391723633,-0.0,-0.0,-0.0,-0.8285307884216309,-3.2647268772125244,10.73387622833252,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.5999999642372131,-1.564621925354004e-07,-0.055999934673309326,0.5999999642372131,-1.65706205368042,-4.76837158203125e-07,21.46775245666504,0.0,0.0,0.0,9.5367431640625e-07,3.2977127375488635e-06,3.427267074584961e-07,14.251246452331543,14.251246452331543,32.7621955871582,32.7621955871582,0.557930588722229,0.557930588722229,0.4420694410800934,0.4420694410800934,0.0,0.0,0.0,0.0,7.348498344421387,7.348498344421387,3.786024570465088,3.786024570465088,1.7762086391448975,1.7762086391448975,0.0,0.0,-0.1689114272594452,-0.1689114272594452,1.6072971820831299,1.6072971820831299,0.583173930644989,0.583173930644989,-0.03624240309000015,-0.03624240309000015,0.32378387451171875,0.32378387451171875,51.396392822265625,51.396392822265625,23.87491226196289,23.87491226196289,37.17232131958008,37.17232131958008,4.9392409324646,4.9392409324646,0.0,0.0,180.0
7,0.029166666666666667,0.33718007419737517,-11.939836598183016,-300.3370134692889,0.33718007419737517,-11.939836598183016,-300.3370134692889,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,11.939835548400879,11.939836502075195,11.939836502075195,11.939835548400879,0.28836578130722046,0.2880001962184906,-9.730313301086426,-9.901498794555664,-0.15847769379615784,-0.15847769379615784,0.0,0.0,nan,nan,55.860084533691406,55.860084533691406,111.72016906738281,0.0,12.23495864868164,2.112147569656372,0.0,0.0,0.0,2.112147569656372,0.0,12.23495864868164,0.0,0.0,0.0,-0.6083046793937683,3.0336477756500244,12.024238586425781,0.0,0.0,0.0,0.0,12.23495864868164,2.112147569656372,0.0,0.0,0.0,2.112147569656372,0.0,12.23495864868164,-0.0,-0.0,-0.0,-0.6083048582077026,-3.0336499214172363,12.024238586425781,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.6000000238418579,-1.2166094779968262,-2.1457672119140625e-06,24.048477172851562,0.0,0.0,0.0,1.2516975402832031e-06,2.6342970613768557e-06,2.2351741790771484e-08,15.554607391357422,15.554604530334473,35.8150520324707,35.81504440307617,0.5015096664428711,0.5015096664428711,0.4964340329170227,0.4964340329170227,0.002056337660178542,0.002056337660178542,0.0,0.0,8.739269256591797,8.739269256591797,3.495689868927002,3.495689868927002,2.287238597869873,2.287238597869873,0.0,0.0,-0.17509108781814575,-0.17509108781814575,2.112147569656372,2.112147569656372,0.583173930644989,0.583173930644989,-0.00695935869589448,-0.00695935869589448,0.3367742598056793,0.3367742598056793,57.789615631103516,57.789615631103516,27.63253402709961,27.63253402709961,40.89354705810547,40.89354705810547,3.9198968410491943,3.9198968410491943,0.0,0.0,180.0
8,0.03333333333333333,0.28495514311986225,-13.09581754086345,-253.81860675205772,0.28495514311986225,-13.09581754086345,-253.81860675205772,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,13.095815658569336,13.09581470489502,13.095817565917969,13.095818519592285,0.23366878926753998,0.2331637293100357,-9.831382751464844,-10.053003311157227,-0.17382106184959412,-0.17382106184959412,0.0,0.0,nan,nan,66.74078369140625,66.74078369140625,133.4815673828125,0.0,13.272043228149414,2.641110897064209,0.0,0.0,0.0,2.641110897064209,0.0,13.272043228149414,0.0,0.0,0.0,-0.3536059558391571,2.615119218826294,13.272479057312012,0.0,0.0,0.0,0.0,13.272043228149414,2.641110897064209,0.0,0.0,0.0,2.641110897064209,0.0,13.272043228149414,-0.0,-0.0,-0.0,-0.3536057770252228,-2.6151232719421387,13.272479057312012,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.1175870895385742e-07,0.05600002408027649,0.5999999642372131,-2.2351741790771484e-08,-0.055999964475631714,0.5999999642372131,-0.7072117328643799,-4.0531158447265625e-06,26.544958114624023,0.0,0.0,0.0,7.748603820800781e-07,2.613232709336444e-06,-2.0302832126617432e-07,16.60968589782715,16.609689712524414,38.04073715209961,38.04073715209961,0.4732013940811157,0.4732013940811157,0.5037140846252441,0.5037140846252441,0.023084618151187897,0.023084618151187897,0.0,0.0,10.110097885131836,10.110097885131836,3.161945343017578,3.161945343017578,2.822115421295166,2.822115421295166,0.0,0.0,-0.18100464344024658,-0.18100464344024658,2.641110897064209,2.641110897064209,0.583173930644989,0.583173930644989,0.02076040953397751,0.02076040953397751,0.3463968336582184,0.3463968336582184,63.26114273071289,63.26114273071289,30.860904693603516,30.860904693603516,44.08149337768555,44.08149337768555,3.0407865047454834,3.0407865047454834,0.0,0.0,180.0
9,0.0375,0.22832931472029264,-14.049544375354353,-203.38018085386577,0.22832931472029264,-14.049544375354353,-203.38018085386577,7.0,-7.0,0.0,0.0,13.0,1,0.4000000000000001,0.0,0.0,3.8,4.749999999999999,3.1666666666666674,14.049542427062988,14.049541473388672,14.049543380737305,14.049543380737305,0.1741485446691513,0.17352105677127838,-9.975292205810547,-10.247796058654785,-0.1745329201221466,-0.1745329201221466,0.0,0.0,nan,nan,86.9146728515625,86.9146728515625,173.829345703125,0.0,15.90490436553955,3.49145245552063,0.0,0.0,0.0,3.49145245552063,0.0,15.90490436553955,0.0,0.0,0.0,-0.13998764753341675,2.2463724613189697,16.1273193359375,0.0,0.0,0.0,0.0,15.90490436553955,3.49145245552063,0.0,0.0,0.0,3.49145245552063,0.0,15.90490436553955,-0.0,-0.0,-0.0,-0.13998736441135406,-2.246375799179077,16.1273193359375,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.940696716308594e-08,0.05600005388259888,0.5999999642372131,-7.450580596923828e-08,-0.055999964475631714,0.6000000238418579,-0.2799749970436096,-3.337860107421875e-06,32.254638671875,0.0,0.0,0.0,1.5497207641601562e-06,3.6130807075096527e-06,-5.587935447692871e-09,17.654878616333008,17.654876708984375,40.310882568359375,40.310882568359375,0.43071863055229187,0.43071863055229187,0.5071501731872559,0.5071501731872559,0.06213124841451645,0.06213124841451645,0.0,0.0,13.219076156616211,13.219076156616211,2.685828447341919,2.685828447341919,3.6750850677490234,3.6750850677490234,0.0,0.0,-0.18363246321678162,-0.18363246321678162,3.49145245552063,3.49145245552063,0.583173930644989,0.583173930644989,0.09578477591276169,0.09578477591276169,0.3226775825023651,0.3226775825023651,68.77953338623047,68.77953338623047,34.071563720703125,34.071563720703125,47.07155990600586,47.07155990600586,3.0,3.0,0.0,0.0,180.0
