step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.5232,-0.0,-193.97747192264637,0.5232,-0.0,-193.97747192264637,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,0.0,0.0,0.0,0.0,0.5072753429412842,0.5079325437545776,-5.5097222328186035,-5.307484149932861,0.0,0.0,0.0,0.0,nan,nan,-0.8478294610977173,-0.8478294610977173,-1.6956589221954346,0.0,4.076191425323486,0.06008848175406456,0.0,0.0,0.0,0.06008848175406456,0.0,4.076191425323486,0.0,0.0,0.0,-0.7723866105079651,1.7235972881317139,3.612697124481201,0.0,0.0,0.0,0.0,4.076191425323486,0.06008848175406456,0.0,0.0,0.0,0.06008848175406456,0.0,4.076191425323486,-0.0,-0.0,-0.0,-0.7723865509033203,-1.7235978841781616,3.612696886062622,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.6000000238418579,4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,-1.5447731018066406,-5.960464477539062e-07,7.225394248962402,0.0,0.0,0.0,3.427267074584961e-07,3.768336682696827e-07,-1.601874828338623e-07,12.99998664855957,12.99998664855957,12.999985694885254,12.999985694885254,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.320007801055908,2.320007801055908,1.7561835050582886,1.7561835050582886,0.2022109031677246,0.2022109031677246,0.0,0.0,-0.14212241768836975,-0.14212241768836975,0.06008848175406456,0.06008848175406456,0.3762412369251251,0.3762412369251251,-0.15660041570663452,-0.15660041570663452,0.14575590193271637,0.14575590193271637,-0.16857892274856567,-0.16857892274856567,-5.8123393058776855,-5.8123393058776855,7.356240272521973,7.356240272521973,13.0,13.0,0.0,0.0,180.0
1,0.004166666666666667,0.5215170707737005,-0.8073726838982116,-193.35352246404105,0.5215170707737005,-0.8073726838982116,-193.35352246404105,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,0.8073725700378418,0.8073725700378418,0.8073726296424866,0.8073726296424866,0.503156840801239,0.5037577152252197,-5.890622138977051,-5.709040641784668,-0.010716274380683899,-0.010716274380683899,0.0,0.0,nan,nan,0.37844330072402954,0.37844330072402954,0.7568866014480591,0.0,4.525954246520996,0.11017534136772156,0.0,0.0,0.0,0.11017534136772156,0.0,4.525954246520996,0.0,0.0,0.0,-0.8159911036491394,1.9068715572357178,4.024226665496826,0.0,0.0,0.0,0.0,4.525954246520996,0.11017534136772156,0.0,0.0,0.0,0.11017534136772156,0.0,4.525954246520996,-0.0,-0.0,-0.0,-0.8159910440444946,-1.9068726301193237,4.024226188659668,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.2665987014770508e-07,0.05600002408027649,0.5999999046325684,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,-1.6319820880889893,-1.0728836059570312e-06,8.048452377319336,0.0,0.0,0.0,6.109476089477539e-07,1.0867069022424403e-06,-5.21540641784668e-08,11.775099754333496,11.775101661682129,13.533477783203125,13.533477783203125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.749753475189209,2.749753475189209,1.7762004137039185,1.7762004137039185,0.2530965507030487,0.2530965507030487,0.0,0.0,-0.14292120933532715,-0.14292120933532715,0.11017534136772156,0.11017534136772156,0.3762412369251251,0.3762412369251251,-0.1438954919576645,-0.1438954919576645,0.15821807086467743,0.15821807086467743,3.814694404602051,3.814694404602051,-3.503770589828491,-3.503770589828491,9.664265632629395,9.664265632629395,12.386002540588379,12.386002540588379,0.0,0.0,180.0
2,0.008333333333333333,0.5164791097415173,-1.6095513651731503,-191.4856880896762,0.5164791097415173,-1.6095513651731503,-191.4856880896762,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,1.609550952911377,1.609550952911377,1.6095513105392456,1.6095513105392456,0.49577951431274414,0.49632030725479126,-6.237118721008301,-6.077430725097656,-0.02136360853910446,-0.02136360853910446,0.0,0.0,nan,nan,1.9359310865402222,1.9359310865402222,3.8718621730804443,0.0,4.981849193572998,0.17433702945709229,0.0,0.0,0.0,0.17433702945709229,0.0,4.981849193572998,0.0,0.0,0.0,-0.8488470911979675,2.0761609077453613,4.451766490936279,0.0,0.0,0.0,0.0,4.981849193572998,0.17433702945709229,0.0,0.0,0.0,0.17433702945709229,0.0,4.981849193572998,-0.0,-0.0,-0.0,-0.8488469123840332,-2.076162338256836,4.451766014099121,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.5999999642372131,-9.685754776000977e-08,-0.055999934673309326,0.6000000238418579,-1.6976940631866455,-1.430511474609375e-06,8.903532028198242,0.0,0.0,0.0,5.513429641723633e-07,1.1451472801127238e-06,1.043081283569336e-07,10.616739273071289,10.616739273071289,14.069847106933594,14.069847106933594,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.197925567626953,3.197925567626953,1.7839237451553345,1.7839237451553345,0.3182423412799835,0.3182423412799835,0.0,0.0,-0.14390532672405243,-0.14390532672405243,0.17433702945709229,0.17433702945709229,0.3762412369251251,0.3762412369251251,-0.13087411224842072,-0.13087411224842072,0.1705128252506256,0.1705128252506256,7.771861553192139,7.771861553192139,-1.2086374759674072,-1.2086374759674072,11.957775115966797,11.957775115966797,11.775955200195312,11.775955200195312,0.0,0.0,180.0
3,0.0125,0.508118527193443,-2.4013754553407494,-188.38598498096812,0.508118527193443,-2.4013754553407494,-188.38598498096812,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,2.4013748168945312,2.401374578475952,2.4013752937316895,2.4013752937316895,0.4851897656917572,0.4856671392917633,-6.547185897827148,-6.410491943359375,-0.03187350556254387,-0.03187350556254387,0.0,0.0,nan,nan,3.8132007122039795,3.8132007122039795,7.626401424407959,0.0,5.442794322967529,0.25289347767829895,0.0,0.0,0.0,0.25289347767829895,0.0,5.442794322967529,0.0,0.0,0.0,-0.8707873225212097,2.2268154621124268,4.896017551422119,0.0,0.0,0.0,0.0,5.442794322967529,0.25289347767829895,0.0,0.0,0.0,0.25289347767829895,0.0,5.442794322967529,-0.0,-0.0,-0.0,-0.8707872033119202,-2.2268166542053223,4.896017074584961,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.4156103134155273e-07,0.0559999942779541,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.5999999642372131,-1.7415745258331299,-1.1920928955078125e-06,9.792034149169922,0.0,0.0,0.0,2.980232238769531e-07,1.4534982710756594e-06,-9.313225746154785e-08,9.628232955932617,9.6282320022583,14.606892585754395,14.606892585754395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66341495513916,3.66341495513916,1.77937912940979,1.77937912940979,0.3979583978652954,0.3979583978652954,0.0,0.0,-0.14506490528583527,-0.14506490528583527,0.25289347767829895,0.25289347767829895,0.3762412369251251,0.3762412369251251,-0.1176268607378006,-0.1176268607378006,0.18255417048931122,0.18255417048931122,11.675992965698242,11.675992965698242,1.0574332475662231,1.0574332475662231,14.221152305603027,14.221152305603027,11.173782348632812,11.173782348632812,0.0,0.0,180.0
4,0.016666666666666666,0.4964891085603606,-3.177750979234987,-184.0743541966114,0.4964891085603606,-3.177750979234987,-184.0743541966114,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,3.1777498722076416,3.177751064300537,3.177750825881958,3.177750825881958,0.4714545011520386,0.4718656539916992,-6.819005489349365,-6.706259250640869,-0.042178355157375336,-0.042178355157375336,0.0,0.0,nan,nan,5.992095947265625,5.992095947265625,11.98419189453125,0.0,5.907414436340332,0.34588178992271423,0.0,0.0,0.0,0.34588178992271423,0.0,5.907414436340332,0.0,0.0,0.0,-0.8817918300628662,2.354055404663086,5.3570556640625,0.0,0.0,0.0,0.0,5.907414436340332,0.34588178992271423,0.0,0.0,0.0,0.34588178992271423,0.0,5.907414436340332,-0.0,-0.0,-0.0,-0.8817917108535767,-2.3540570735931396,5.357054710388184,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.6391277313232422e-07,0.0559999942779541,0.5999999642372131,8.195638656616211e-08,-0.0559999942779541,0.6000000238418579,-1.7635835409164429,-1.6689300537109375e-06,10.714110374450684,0.0,0.0,0.0,1.7881393432617188e-07,8.109092846098065e-07,-5.736947059631348e-07,8.967463493347168,8.967464447021484,15.141996383666992,15.141996383666992,0.9852601289749146,0.9852601289749146,0.014739926904439926,0.014739926904439926,0.0,0.0,0.0,0.0,4.144696235656738,4.144696235656738,1.762717366218567,1.762717366218567,0.4922674894332886,0.4922674894332886,0.0,0.0,-0.14638571441173553,-0.14638571441173553,0.34588178992271423,0.34588178992271423,0.3762412369251251,0.3762412369251251,-0.10424575954675674,-0.10424575954675674,0.1942579299211502,0.1942579299211502,15.5006685256958,15.5006685256958,3.2790966033935547,3.2790966033935547,16.439069747924805,16.439069747924805,10.583357810974121,10.583357810974121,0.0,0.0,180.0
5,0.020833333333333332,0.48166566840076597,-3.9336833456488858,-178.57853338744704,0.48166566840076597,-3.9336833456488858,-178.57853338744704,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,3.933683156967163,3.933682680130005,3.933683395385742,3.933683395385742,0.4546612799167633,0.45500367879867554,-7.050963401794434,-6.962977409362793,-0.052211862057447433,-0.052211862057447433,0.0,0.0,nan,nan,8.447372436523438,8.447372436523438,16.894744873046875,0.0,6.373953819274902,0.453005850315094,0.0,0.0,0.0,0.453005850315094,0.0,6.373953819274902,0.0,0.0,0.0,-0.8819941878318787,2.453033208847046,5.834142208099365,0.0,0.0,0.0,0.0,6.373953819274902,0.453005850315094,0.0,0.0,0.0,0.453005850315094,0.0,6.373953819274902,-0.0,-0.0,-0.0,-0.8819937705993652,-2.4530348777770996,5.834141731262207,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.4901161193847656e-08,0.05600005388259888,0.6000000238418579,-8.195638656616211e-08,-0.055999934673309326,0.6000000238418579,-1.7639880180358887,-1.6689300537109375e-06,11.668283462524414,0.0,0.0,0.0,7.152557373046875e-07,9.128225997301342e-07,2.942979335784912e-07,8.703798294067383,8.703798294067383,15.672012329101562,15.672012329101562,0.9557802677154541,0.9557802677154541,0.04421978443861008,0.04421978443861008,0.0,0.0,0.0,0.0,4.639746189117432,4.639746189117432,1.7342069149017334,1.7342069149017334,0.6008552312850952,0.6008552312850952,0.0,0.0,-0.14784932136535645,-0.14784932136535645,0.453005850315094,0.453005850315094,0.3762412369251251,0.3762412369251251,-0.09082309156656265,-0.09082309156656265,0.20554251968860626,0.20554251968860626,19.220245361328125,19.220245361328125,5.4414381980896,5.4414381980896,18.596633911132812,18.596633911132812,10.008480072021484,10.008480072021484,0.0,0.0,180.0
6,0.025,0.4637435691025752,-4.664309478617068,-171.93387835417164,0.4637435691025752,-4.664309478617068,-171.93387835417164,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,4.664308071136475,4.664308547973633,4.664309501647949,4.664309978485107,0.43491753935813904,0.4351891577243805,-7.2416672706604,-7.179083824157715,-0.06190947815775871,-0.06190947815775871,0.0,0.0,nan,nan,11.146398544311523,11.146398544311523,22.292797088623047,0.0,6.840203285217285,0.5735887885093689,0.0,0.0,0.0,0.5735887885093689,0.0,6.840203285217285,0.0,0.0,0.0,-0.871690571308136,2.5189058780670166,6.325555324554443,0.0,0.0,0.0,0.0,6.840203285217285,0.5735887885093689,0.0,0.0,0.0,0.5735887885093689,0.0,6.840203285217285,-0.0,-0.0,-0.0,-0.8716901540756226,-2.5189080238342285,6.325554847717285,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.1175870895385742e-07,0.05600002408027649,0.5999999642372131,-4.470348358154297e-08,-0.0559999942779541,0.6000000238418579,-1.7433807849884033,-2.1457672119140625e-06,12.65110969543457,0.0,0.0,0.0,3.5762786865234375e-07,1.4186995258569368e-06,-1.2293457984924316e-07,8.758508682250977,8.758508682250977,16.193408966064453,16.193408966064453,0.9410403370857239,0.9410403370857239,0.058959703892469406,0.058959703892469406,0.0,0.0,0.0,0.0,5.14598274230957,5.14598274230957,1.6942201852798462,1.6942201852798462,0.7230219841003418,0.7230219841003418,0.0,0.0,-0.1494331955909729,-0.1494331955909729,0.5735887885093689,0.5735887885093689,0.3762412369251251,0.3762412369251251,-0.07745052874088287,-0.07745052874088287,0.21633009612560272,0.21633009612560272,22.81004524230957,22.81004524230957,7.530094146728516,7.530094146728516,20.679515838623047,20.679515838623047,9.452847480773926,9.452847480773926,0.0,0.0,180.0
7,0.029166666666666667,0.4428381073963143,-5.36492910263238,-164.18313559584558,0.4428381073963143,-5.36492910263238,-164.18313559584558,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,5.364929676055908,5.364928245544434,5.364928722381592,5.36492919921875,0.4123500883579254,0.41254934668540955,-7.389920234680176,-7.35322904586792,-0.07120881229639053,-0.07120881229639053,0.0,0.0,nan,nan,14.049039840698242,14.049039840698242,28.098079681396484,0.0,7.303463935852051,0.7065352201461792,0.0,0.0,0.0,0.7065352201461792,0.0,7.303463935852051,0.0,0.0,0.0,-0.8513526320457458,2.5469722747802734,6.828463554382324,0.0,0.0,0.0,0.0,7.303463935852051,0.7065352201461792,0.0,0.0,0.0,0.7065352201461792,0.0,7.303463935852051,-0.0,-0.0,-0.0,-0.8513520956039429,-2.546973943710327,6.828462600708008,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,7.450580596923828e-08,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,-1.702704668045044,-1.6689300537109375e-06,13.656926155090332,0.0,0.0,0.0,6.854534149169922e-07,3.052560373362212e-07,4.470348358154297e-07,9.018798828125,9.018799781799316,16.70225715637207,16.70225715637207,0.9263004064559937,0.9263004064559937,0.07369963079690933,0.07369963079690933,0.0,0.0,0.0,0.0,5.66024112701416,5.66024112701416,1.643222451210022,1.643222451210022,0.8576463460922241,0.8576463460922241,0.0,0.0,-0.15111105144023895,-0.15111105144023895,0.7065352201461792,0.7065352201461792,0.3762412369251251,0.3762412369251251,-0.06421825289726257,-0.06421825289726257,0.22654710710048676,0.22654710710048676,26.246597290039062,26.246597290039062,9.531383514404297,9.531383514404297,22.674070358276367,22.674070358276367,8.920036315917969,8.920036315917969,0.0,0.0,180.0
8,0.03333333333333333,0.4190837726263821,-6.031034980532078,-155.3761673124441,0.4190837726263821,-6.031034980532078,-155.3761673124441,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,6.031033039093018,6.031032562255859,6.031034469604492,6.031034469604492,0.3871040642261505,0.3872300088405609,-7.494764804840088,-7.484279632568359,-0.08005005121231079,-0.08005005121231079,0.0,0.0,nan,nan,17.10783576965332,17.10783576965332,34.21567153930664,0.0,7.760540962219238,0.8503090143203735,0.0,0.0,0.0,0.8503090143203735,0.0,7.760540962219238,0.0,0.0,0.0,-0.8216271996498108,2.532848596572876,7.338843822479248,0.0,0.0,0.0,0.0,7.760540962219238,0.8503090143203735,0.0,0.0,0.0,0.8503090143203735,0.0,7.760540962219238,-0.0,-0.0,-0.0,-0.821627140045166,-2.5328502655029297,7.33884334564209,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.5999999642372131,-1.043081283569336e-07,-0.055999964475631714,0.5999999642372131,-1.643254280090332,-1.6689300537109375e-06,14.67768669128418,0.0,0.0,0.0,4.470348358154297e-07,1.9023409549845383e-06,1.0803341865539551e-07,9.395320892333984,9.395320892333984,17.51072120666504,17.51072120666504,0.8884758949279785,0.8884758949279785,0.11152417212724686,0.11152417212724686,0.0,0.0,0.0,0.0,6.178784370422363,6.178784370422363,1.581756830215454,1.581756830215454,1.0031623840332031,1.0031623840332031,0.0,0.0,-0.1528533548116684,-0.1528533548116684,0.8503090143203735,0.8503090143203735,0.3762412369251251,0.3762412369251251,-0.05121412128210068,-0.05121412128210068,0.23612502217292786,0.23612502217292786,29.507783889770508,29.507783889770508,11.432406425476074,11.432406425476074,24.56743812561035,24.56743812561035,8.413470268249512,8.413470268249512,0.0,0.0,180.0
9,0.0375,0.39263338155208904,-6.658341909526684,-145.5696306305697,0.39263338155208904,-6.658341909526684,-145.5696306305697,7.0,-7.0,0.0,0.0,13.0,1,0.6200000000000002,0.0,0.0,3.8,3.0645161290322567,5.000000000000003,6.658342361450195,6.658339977264404,6.658341884613037,6.658341407775879,0.35934242606163025,0.3593944013118744,-7.55544376373291,-7.57131814956665,-0.08837631344795227,-0.08837631344795227,0.0,0.0,nan,nan,20.268539428710938,20.268539428710938,40.537078857421875,0.0,8.207775115966797,1.0029311180114746,0.0,0.0,0.0,1.0029311180114746,0.0,8.207775115966797,0.0,0.0,0.0,-0.7833402752876282,2.472693920135498,7.851471424102783,0.0,0.0,0.0,0.0,8.207775115966797,1.0029311180114746,0.0,0.0,0.0,1.0029311180114746,0.0,8.207775115966797,-0.0,-0.0,-0.0,-0.7833400368690491,-2.4726953506469727,7.851470947265625,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,5.21540641784668e-08,0.05600005388259888,0.6000000238418579,-1.4901161193847656e-08,-0.0559999942779541,0.6000000238418579,-1.5666803121566772,-1.430511474609375e-06,15.70294189453125,0.0,0.0,0.0,4.76837158203125e-07,1.7549403708017053e-07,2.2724270820617676e-07,9.826417922973633,9.826417922973633,19.90671157836914,19.90671157836914,0.8399212956428528,0.8399212956428528,0.16007877886295319,0.16007877886295319,0.0,0.0,0.0,0.0,6.697348594665527,6.697348594665527,1.5104265213012695,1.5104265213012695,1.1575589179992676,1.1575589179992676,0.0,0.0,-0.1546277552843094,-0.1546277552843094,1.0029311180114746,1.0029311180114746,0.3762412369251251,0.3762412369251251,-0.0385228730738163,-0.0385228730738163,0.24500122666358948,0.24500122666358948,32.572998046875,32.572998046875,13.221121788024902,13.221121788024902,26.347631454467773,26.347631454467773,7.936409950256348,7.936409950256348,0.0,0.0,180.0
